"state","county","city","reporting_code","special_districts","composite_tax_rate","state_rate","county_rate","city_rate","special_rates"
"NY","New York State only","0","0021","[]","0.04","0.04","0.0","0.0","[]"
"NY","Herkimer","0","2121","[]","0.0825","0.04","0.0425","0.0","[]"
"NY","St. Lawrence","0","4091","[]","0.08","0.04","0.04","0.0","[]"
"NY","St. Lawrence","Ogdensburg","4012","[]","0.08","0.04","0.0","0.04","[]"
"NY","Albany","0","0181","[]","0.08","0.04","0.04","0.0","[]"
"NY","Jefferson","0","2221","[]","0.08","0.04","0.04","0.0","[]"
"NY","Allegany","0","0221","[]","0.085","0.04","0.045","0.0","[]"
"NY","Kings (Brooklyn)","0","8081","[""MCTD""]","0.08875","0.04","0.045","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Saratoga","0","4111","[]","0.07","0.04","0.03","0.0","[]"
"NY","Saratoga","Saratoga Springs","4131","[]","0.07","0.04","0.0","0.03","[]"
"NY","Bronx","0","8081","[""MCTD""]","0.08875","0.04","0.045","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Lewis","0","2321","[]","0.08","0.04","0.04","0.0","[]"
"NY","Brooklyn","0","8081","[""MCTD""]","0.08875","0.04","0.045","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Livingston","0","2411","[]","0.08","0.04","0.04","0.0","[]"
"NY","Schenectady","0","4241","[]","0.08","0.04","0.04","0.0","[]"
"NY","Broome","0","0321","[]","0.08","0.04","0.04","0.0","[]"
"NY","Madison","0","2511","[]","0.08","0.04","0.04","0.0","[]"
"NY","Madison","Oneida","2541","[]","0.08","0.04","0.0","0.04","[]"
"NY","Schoharie","0","4321","[]","0.08","0.04","0.04","0.0","[]"
"NY","Cattaraugus","0","0481","[]","0.08","0.04","0.04","0.0","[]"
"NY","Cattaraugus","Olean","0441","[]","0.08","0.04","0.0","0.04","[]"
"NY","Cattaraugus","Salamanca","0431","[]","0.08","0.04","0.0","0.04","[]"
"NY","Schuyler","0","4411","[]","0.08","0.04","0.04","0.0","[]"
"NY","Manhattan","0","8081","[""MCTD""]","0.08875","0.04","0.045","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Seneca","0","4511","[]","0.08","0.04","0.04","0.0","[]"
"NY","Monroe","0","2611","[]","0.08","0.04","0.04","0.0","[]"
"NY","Staten Island","0","8081","[""MCTD""]","0.08875","0.04","0.045","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Cayuga","0","0511","[]","0.08","0.04","0.04","0.0","[]"
"NY","Cayuga","Auburn","0561","[]","0.08","0.04","0.0","0.04","[]"
"NY","Montgomery","0","2781","[]","0.08","0.04","0.04","0.0","[]"
"NY","Steuben","0","4691","[]","0.08","0.04","0.04","0.0","[]"
"NY","Nassau","0","2811","[""MCTD""]","0.08625","0.04","0.0425","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Suffolk","0","4711","[""MCTD""]","0.0875","0.04","0.04375","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Chautauqua","0","0651","[]","0.08","0.04","0.04","0.0","[]"
"NY","New York (Manhattan)","0","8081","[""MCTD""]","0.08875","0.04","0.045","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Sullivan","0","4821","[]","0.08","0.04","0.04","0.0","[]"
"NY","Chemung","0","0711","[]","0.08","0.04","0.04","0.0","[]"
"NY","New York City","New York City","8081","[""MCTD""]","0.08875","0.04","0.0","0.045","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Tioga","0","4921","[]","0.08","0.04","0.04","0.0","[]"
"NY","Chenango","0","0861","[]","0.08","0.04","0.04","0.0","[]"
"NY","Chenango","Norwich","0831","[]","0.08","0.04","0.0","0.04","[]"
"NY","Niagara","0","2911","[]","0.08","0.04","0.04","0.0","[]"
"NY","Tompkins","0","5081","[]","0.08","0.04","0.04","0.0","[]"
"NY","Tompkins","Ithaca","5021","[]","0.08","0.04","0.0","0.04","[]"
"NY","Oneida","0","3010","[]","0.0875","0.04","0.0475","0.0","[]"
"NY","Oneida","Rome","3015","[]","0.0875","0.04","0.0","0.0475","[]"
"NY","Oneida","Utica","3018","[]","0.0875","0.04","0.0","0.0475","[]"
"NY","Clinton","0","0921","[]","0.08","0.04","0.04","0.0","[]"
"NY","Ulster","0","5111","[]","0.08","0.04","0.04","0.0","[]"
"NY","Columbia","0","1021","[]","0.08","0.04","0.04","0.0","[]"
"NY","Warren","0","5281","[]","0.07","0.04","0.03","0.0","[]"
"NY","Warren","Glens Falls","5211","[]","0.07","0.04","0.0","0.03","[]"
"NY","Cortland","0","1131","[]","0.08","0.04","0.04","0.0","[]"
"NY","Onondaga","0","3121","[]","0.08","0.04","0.04","0.0","[]"
"NY","Delaware","0","1221","[]","0.08","0.04","0.04","0.0","[]"
"NY","Ontario","0","3211","[]","0.075","0.04","0.035","0.0","[]"
"NY","Washington","0","5311","[]","0.07","0.04","0.03","0.0","[]"
"NY","Dutchess","0","1311","[""MCTD""]","0.08125","0.04","0.0375","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Orange","0","3321","[""MCTD""]","0.08125","0.04","0.0375","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Wayne","0","5421","[]","0.08","0.04","0.04","0.0","[]"
"NY","Erie","0","1451","[]","0.0875","0.04","0.0475","0.0","[]"
"NY","Orleans","0","3481","[]","0.08","0.04","0.04","0.0","[]"
"NY","Westchester","0","5581","[""MCTD""]","0.08375","0.04","0.04","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Westchester","Mount Vernon","5521","[""MCTD""]","0.08375","0.04","0.0","0.04","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Westchester","New Rochelle","6861","[""MCTD""]","0.08375","0.04","0.0","0.04","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Westchester","White Plains","6513","[""MCTD""]","0.08375","0.04","0.0","0.04","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Westchester","Yonkers","6511","[""MCTD""]","0.08875","0.04","0.0","0.045","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Essex","0","1521","[]","0.08","0.04","0.04","0.0","[]"
"NY","Oswego","0","3501","[]","0.08","0.04","0.04","0.0","[]"
"NY","Oswego","Oswego","3561","[]","0.08","0.04","0.0","0.04","[]"
"NY","Franklin","0","1621","[]","0.08","0.04","0.04","0.0","[]"
"NY","Fulton","0","1791","[]","0.08","0.04","0.04","0.0","[]"
"NY","Fulton","Gloversville","1741","[]","0.08","0.04","0.0","0.04","[]"
"NY","Fulton","Johnstown","1751","[]","0.08","0.04","0.0","0.04","[]"
"NY","Otsego","0","3621","[]","0.08","0.04","0.04","0.0","[]"
"NY","Putnam","0","3731","[""MCTD""]","0.08375","0.04","0.04","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Queens","0","8081","[""MCTD""]","0.08875","0.04","0.045","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Wyoming","0","5621","[]","0.08","0.04","0.04","0.0","[]"
"NY","Genesee","0","1811","[]","0.08","0.04","0.04","0.0","[]"
"NY","Rensselaer","0","3881","[]","0.08","0.04","0.04","0.0","[]"
"NY","Yates","0","5721","[]","0.08","0.04","0.04","0.0","[]"
"NY","Greene","0","1911","[]","0.08","0.04","0.04","0.0","[]"
"NY","Richmond (Staten Island)","0","8081","[""MCTD""]","0.08875","0.04","0.045","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
"NY","Hamilton","0","2011","[]","0.08","0.04","0.04","0.0","[]"
"NY","Rockland","0","3921","[""MCTD""]","0.08375","0.04","0.04","0.0","[{""name"": ""MCTD"", ""rate"": 0.00375}]"
